#format: frame checksums
#version: 2
#hash: MD5
#software: Lavf62.12.102
#tb 0: 1/10
#media_type 0: video
#codec_id 0: rawvideo
#dimensions 0: 160x96
#sar 0: 1/1
#stream#, dts,        pts, duration,     size, hash
0,          0,          0,        1,    23040, 133fb23103aaf08a83712391c6e906ce
0,          1,          1,        1,    23040, 95a46348f0968eb1c2825dfc7287d8bd
0,          2,          2,        1,    23040, 53103e924c398f2cdf025495a2403a51
0,          3,          3,        1,    23040, 7503f9db034214abe274030827228302
0,          4,          4,        1,    23040, bc9e990b77749c61ce878cd34c1a8f65
0,          5,          5,        1,    23040, 94f8bbbbce265648aead8f55372f8d60
0,          6,          6,        1,    23040, 7ac526ea4d06029a235c21c92324f5e7
0,          7,          7,        1,    23040, c1339f18371ed31227cc9a250744481c
0,          8,          8,        1,    23040, a99f3a7ca1c0977caf5e94c2ab322803
0,          9,          9,        1,    23040, 0b4e5dd9ff7c86dcfc31b0eb7be344b4
0,         10,         10,        1,    23040, 4993e3573c79b5f3d2a08e72d6a63e44
