source	original_relative_target	status
sources/reports/R70-R75-report.md	results/summary.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/qa.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	R70-R75-agent-catalog.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/environment.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r70_host.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/browser.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	source/source-audit.md	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r71_host.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/browser.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r72_host.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	scripts/r72.py	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r73_host.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	scripts/r73.py	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r74_component.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r74_sanitizer.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	scripts/r74_pcm.c	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	source/source-audit.md	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	results/r75_component.json	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	scripts/seek-index.mjs	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	scripts/r75.mjs	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
sources/reports/R70-R75-report.md	README.md	HISTORICAL_LINK_NOT_BUNDLED; do not infer a local path
