url	citing_bundled_sources	verification_status
https://aomediacodec.github.io/av1-avif/v1.2.0.html	sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://api.github.com/repos/Jagalite/demuxe/branches/main	sources/proposals/Demuxe_R58_R69_Research_Backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://chromium.googlesource.com/chromium/src/+/main/media/formats/mp4/mp4_stream_parser.cc	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://chromium.googlesource.com/chromium/src/+/refs/heads/main/media/filters/ffmpeg_demuxer.cc	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://compression.spec.whatwg.org/	sources/proposals/Demuxe_R358_R362_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.apple.com/streaming/	sources/proposals/Demuxe_R363_R366_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.apple.com/videos/play/wwdc2023/10071/	sources/reports/R239-R246-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.apple.com/videos/play/wwdc2023/10122/	sources/proposals/Demuxe_R353_R357_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.chrome.com/blog/alpha-transparency-in-chrome-video	sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.chrome.com/blog/audio-worklet-design-pattern/	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.chrome.com/blog/new-in-webgpu-116	sources/proposals/Demuxe_Routing_Optimization_Ideas.md; sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.chrome.com/blog/quotaexceedederror	sources/proposals/Demuxe_Sandbox_Experiment_Addendum.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.chrome.com/docs/chromium/videong	sources/proposals/R88-R101-research-backlog.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developer.chrome.com/docs/web-platform/document-picture-in-picture	sources/proposals/Demuxe_Routing_Optimization_Ideas.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developers.google.com/tink/streaming-aead	sources/proposals/Demuxe_R289_R294_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://developers.google.com/tink/streaming-aead/aes_gcm_hkdf_streaming	sources/proposals/Demuxe_R289_R294_Proposals.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
https://docs.python.org/3/library/zlib.html	sources/reports/R146-R158-report.md	PRESERVED_REFERENCE_NOT_REVALIDATED_IN_THIS_PACKAGING_PASS
