case,lane,round,route,video_owner,audio_owner,subtitle_owner,presentation_owner,decoder,presenter,cpu_percent,progression_rate,presented_frames,expected_frames,dropped_frames,stall,peak_summed_rss_mib,backend_render_seconds,backend_copy_seconds
rr-av1-4k24-opus,demuxe.auto,1,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,71.9063,1.0022,496,496.15,0,none,1248.3,0.000,0.000
rr-av1-4k24-opus,demuxe.auto,2,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,75.1010,1.0045,495,495.07,0,none,1390.8,0.000,0.000
rr-av1-4k24-opus,demuxe.auto,3,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,85.9788,1.0051,495,494.74,0,none,1473.1,0.000,0.000
rr-av1-4k24-opus,demuxe.hybrid,1,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,73.5415,1.0003,492,494.86,unavailable,none,1366.0,0.010,0.000
rr-av1-4k24-opus,demuxe.hybrid,2,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,73.6556,1.0013,494,495.36,unavailable,none,1355.7,0.011,0.000
rr-av1-4k24-opus,demuxe.hybrid,3,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,74.7474,1.0023,492,493.85,unavailable,none,1324.5,0.010,0.000
rr-av1-4k24-opus,demuxe.software,1,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,103.7348,1.0013,493,492.36,unavailable,none,1304.9,5.168,0.254
rr-av1-4k24-opus,demuxe.software,2,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,100.3765,0.9989,492,492.53,unavailable,none,1308.3,5.043,0.255
rr-av1-4k24-opus,demuxe.software,3,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,114.2528,0.9998,495,492.10,unavailable,none,1306.4,4.980,0.257
rr-h264-1080p60-aac,demuxe.auto,1,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,54.1586,1.0103,1246,1246.14,0,none,1166.6,0.000,0.000
rr-h264-1080p60-aac,demuxe.auto,2,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,53.2580,1.0115,1245,1244.58,0,none,1107.5,0.000,0.000
rr-h264-1080p60-aac,demuxe.auto,3,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,46.2745,1.0094,1247,1247.28,0,none,1017.4,0.000,0.000
rr-h264-1080p60-aac,demuxe.hybrid,1,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,79.1880,0.9998,1240,1238.34,unavailable,none,1112.2,0.042,0.000
rr-h264-1080p60-aac,demuxe.hybrid,2,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,74.3357,1.0002,1240,1237.80,unavailable,none,1110.6,0.044,0.000
rr-h264-1080p60-aac,demuxe.hybrid,3,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,74.3076,0.9999,1234,1238.10,unavailable,none,1291.3,0.042,0.000
rr-h264-1080p60-aac,demuxe.software,1,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,96.7190,1.0002,1231,1230.78,unavailable,none,1251.0,5.911,0.618
rr-h264-1080p60-aac,demuxe.software,2,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,97.7830,0.9997,1234,1229.40,unavailable,none,1139.1,5.922,0.623
rr-h264-1080p60-aac,demuxe.software,3,software,ffmpeg,mpv-pcm-worklet,mpv,demuxe-retained-frame,software,rgb,97.0690,1.0001,1232,1229.88,unavailable,none,1127.2,5.949,0.612
rr-h264-1080p60-aac,libmedia.default,1,custom,,,,,,,69.0981,1.0000,1236,1235.94,0,none,1132.7,0.000,0.000
rr-h264-1080p60-aac,libmedia.default,2,custom,,,,,,,57.9012,0.9999,1231,1231.20,0,none,1116.6,0.000,0.000
rr-h264-1080p60-aac,libmedia.default,3,custom,,,,,,,70.1404,1.0003,1236,1235.64,0,none,1120.3,0.000,0.000
rr-h264-1080p60-aac,video.default,1,native-direct,,,,,,,51.4352,0.9998,1242,1241.28,0,none,1158.9,0.000,0.000
rr-h264-1080p60-aac,video.default,2,native-direct,,,,,,,52.6831,0.9999,1241,1240.68,0,none,1012.1,0.000,0.000
rr-h264-1080p60-aac,video.default,3,native-direct,,,,,,,44.7642,1.0007,1239,1238.22,0,none,977.9,0.000,0.000
rr-hevc-4k24-aac,demuxe.auto,1,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,40.7424,0.9975,498,498.50,0,none,970.3,0.000,0.000
rr-hevc-4k24-aac,demuxe.auto,2,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,44.7091,1.0001,496,497.16,0,none,1022.2,0.000,0.000
rr-hevc-4k24-aac,demuxe.auto,3,native-direct,browser-media-element,browser-media-element,browser-text-track,browser-media-element,,direct,49.3921,0.9981,498,498.19,0,none,991.3,0.000,0.000
rr-hevc-4k24-aac,demuxe.hybrid,1,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,70.4741,1.0010,495,495.50,unavailable,none,1135.0,0.015,0.000
rr-hevc-4k24-aac,demuxe.hybrid,2,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,70.6209,1.0015,495,496.27,unavailable,none,1043.3,0.015,0.000
rr-hevc-4k24-aac,demuxe.hybrid,3,hybrid,browser-webcodecs,mpv-pcm-worklet,mpv,demuxe-retained-frame,webcodecs,retained,64.0565,1.0000,496,496.01,unavailable,none,1073.0,0.017,0.000
