cycles 10
cycles 20
cycles 30
cycles 40
cycles 50
cycles 60
cycles 70
cycles 80
cycles 90
cycles 100
soak seconds 31
soak seconds 61
soak seconds 92
soak seconds 122
soak seconds 153
soak seconds 184
soak seconds 214
soak seconds 245
soak seconds 275
soak seconds 306
soak seconds 336
soak seconds 367
soak seconds 398
soak seconds 428
soak seconds 459
soak seconds 490
soak seconds 520
soak seconds 551
soak seconds 581
soak seconds 612
soak seconds 643
soak seconds 673
soak seconds 704
soak seconds 734
soak seconds 765
soak seconds 796
soak seconds 826
soak seconds 857
soak seconds 887
soak seconds 918
soak seconds 949
soak seconds 979
soak seconds 1010
soak seconds 1040
soak seconds 1071
soak seconds 1102
soak seconds 1132
soak seconds 1163
soak seconds 1193
soak seconds 1224
soak seconds 1255
soak seconds 1285
soak seconds 1316
soak seconds 1346
soak seconds 1377
soak seconds 1408
soak seconds 1438
soak seconds 1469
soak seconds 1499
soak seconds 1530
soak seconds 1560
soak seconds 1591
soak seconds 1621
soak seconds 1652
soak seconds 1683
soak seconds 1713
soak seconds 1744
soak seconds 1774
PASS
